ID,First_Name,Last_Name,State,Five_Star_Reviews,Four_Star_Reviews,Three_Star_Reviews,Two_Star_Reviews,One_Star_Reviews
860544,Diana,Kelli,Maryland,24,5,95,75,24
626390,Tara,Donna,Maryland,14,65,79,66,95
587034,Tamara,Laura,Oregon,61,70,27,51,3
885657,Samuel,Steven,Alabama,38,82,49,9,68
750919,Megan,Martin,Kentucky,37,49,80,74,84
715658,Louis,Willie,Washington,6,80,2,69,4
761802,Nathan,Kayla,Georgia,95,58,10,39,79
192597,Jennifer,Jennifer,South Dakota,78,56,69,36,97
680386,Jeanette,Denise,Missouri,10,20,6,75,43
478627,Albert,Audrey,Kansas,52,83,25,33,76
663033,Nancy,Roger,Mississippi,8,43,23,9,33
870072,Jade,Donald,Wisconsin,52,89,15,17,48
543103,Alexis,Kayla,Nebraska,45,44,88,46,80
763289,Carla,Anthony,Virginia,53,52,14,21,87
363848,Amanda,Victoria,Oregon,17,17,24,28,34
757349,Emily,Lisa,New Hampshire,60,12,84,76,45
162823,Cassandra,Christina,West Virginia,87,82,61,57,6
403662,Heidi,William,Massachusetts,96,16,87,79,49
495215,Daniel,Lisa,Washington,20,40,2,38,80
175518,Kimberly,Steven,North Carolina,59,70,11,61,67
581301,Pamela,Pamela,Connecticut,25,83,62,23,75
839580,Steven,John,Vermont,50,30,87,75,95
867293,Brandon,Nicole,Texas,31,45,33,51,80
422012,Kathryn,Brandy,Arkansas,7,84,71,76,88
305289,Kevin,Denise,New Mexico,42,99,70,64,85
898137,Tina,Stuart,Montana,19,33,87,60,97
208952,Krista,Wendy,Maine,34,91,77,63,20
536496,Gerald,Jamie,West Virginia,87,44,85,99,22
304245,William,Rachel,Utah,23,67,68,61,28
183380,Emily,Debbie,Vermont,52,34,88,43,54
812835,Erin,Ashley,Georgia,18,86,92,65,35
272421,Jose,Randy,Vermont,26,54,64,50,53
151151,Sara,Jane,Texas,35,13,50,22,44
685079,Kelly,Victoria,Mississippi,72,4,55,97,73
614776,Joel,Jonathan,Illinois,86,76,87,51,90
294802,Timothy,Nicholas,South Dakota,15,1,98,69,57
111347,Christine,Johnathan,South Dakota,88,23,91,54,82
519372,Robert,Allison,Arkansas,66,33,6,52,83
255180,Kelly,George,Rhode Island,62,65,75,26,68
764749,Shannon,Emma,Mississippi,35,13,31,33,4
767483,Cynthia,Timothy,Louisiana,86,80,41,65,87
823332,Cristian,Ryan,Nebraska,73,81,20,89,54
591105,Joy,Gregory,Wisconsin,4,94,53,20,46
259909,Mike,Summer,New York,29,96,58,95,7
736036,James,Michael,Alabama,4,1,84,58,58
306439,Brooke,Martin,Maine,55,89,87,81,13
491415,Kayla,Sandra,New Jersey,83,70,98,43,31
525001,Brianna,Christopher,Nevada,73,27,78,22,16
519038,Allison,Francisco,Louisiana,97,60,64,4,23
213122,Stephanie,Robert,Louisiana,63,67,30,10,8
785238,Angela,Samantha,California,44,99,61,18,47
410240,Joshua,Michael,Michigan,9,88,79,76,6
786946,Mark,Autumn,Iowa,20,68,41,55,67
257620,Victoria,Elizabeth,Alaska,1,72,56,46,46
731112,Kendra,Evelyn,Vermont,73,76,67,75,63
571447,Chelsey,Lisa,Wyoming,37,21,36,84,85
554656,James,Richard,North Dakota,85,96,5,37,98
406801,James,Susan,Connecticut,2,98,6,14,45
648646,Madeline,Austin,Idaho,8,17,28,22,25
316808,Latoya,Amanda,Alabama,92,41,53,31,43
642629,Cheryl,Samantha,West Virginia,4,48,31,45,26
598534,Nancy,Frank,Hawaii,48,60,98,2,18
206759,William,Robert,Vermont,80,60,79,56,68
143130,Ashley,Robert,Maine,60,65,39,80,68
273840,Jon,Teresa,South Carolina,82,72,42,43,7
855258,Elizabeth,Anthony,Nebraska,68,11,3,92,72
533828,Maurice,Chelsea,Oregon,98,92,63,18,8
580155,Cathy,Phillip,Delaware,35,39,9,1,48
373570,Benjamin,Gregg,Texas,39,76,31,80,26
729152,Seth,Ashley,Nebraska,96,81,36,14,2
445983,Brady,Melissa,Hawaii,38,86,85,50,60
349988,Jeffrey,Kenneth,Colorado,4,54,68,58,27
483612,Sylvia,James,New Mexico,88,94,73,17,39
814313,Diane,Tina,Hawaii,2,57,90,49,39
626762,Daniel,Nicholas,Iowa,15,82,27,83,93
711127,Cindy,Brandon,Washington,84,47,52,24,70
428082,Steven,Daniel,Indiana,14,1,92,33,8
792187,Jonathan,Matthew,Washington,29,70,54,16,96
587174,Ricky,Robert,Utah,37,86,85,47,33
714608,Emily,Brian,Montana,90,98,12,25,53
537762,Aaron,Lisa,Wisconsin,58,3,31,29,18
471445,Tamara,Michael,Tennessee,41,78,93,59,27
577512,Melissa,Robert,Washington,45,73,72,68,46
226172,Amanda,Shirley,Wyoming,62,16,54,58,16
742577,David,Alyssa,Iowa,59,75,30,13,79
707740,Mitchell,Chelsea,Maine,10,43,1,75,12
343874,Robert,Todd,Iowa,88,60,21,88,54
239770,Theresa,Karen,Indiana,80,78,5,49,76
683180,Derrick,Justin,Wyoming,30,98,44,71,14
508877,Donna,Kim,West Virginia,24,21,86,95,46
352825,Ashley,Julie,Washington,32,86,22,92,14
444241,Christopher,Jennifer,Maryland,61,69,48,14,76
843117,Anthony,Ryan,Missouri,68,27,49,74,59
607351,Mindy,Daniel,California,53,17,91,3,89
584343,Denise,Charles,Georgia,26,74,56,65,51
247237,Abigail,Alexis,North Carolina,7,71,29,61,95
835775,Adam,Thomas,Arkansas,44,73,35,6,98
741982,Kristin,Jason,Oklahoma,78,14,64,96,37
398008,Grant,William,Massachusetts,98,99,22,82,52
273110,Jon,Elizabeth,New Jersey,89,16,35,51,38
115824,Victoria,Jane,Oklahoma,33,86,5,70,49
351359,Michael,Sierra,Illinois,15,84,49,23,69
881772,Megan,Elizabeth,Massachusetts,32,87,84,80,86
530639,Marcus,Victoria,New Jersey,27,51,45,12,60
733317,Paul,Emma,Nevada,68,43,73,46,50
538719,Amy,Andrew,Colorado,15,8,95,39,41
180216,Kenneth,Blake,Mississippi,55,87,18,95,2
114745,Amanda,Mark,Kentucky,94,38,82,96,3
208271,Michael,Jeffery,Washington,48,20,61,10,60
225465,Deanna,Randy,West Virginia,26,70,24,69,97
708464,Amanda,Jared,Idaho,34,17,2,49,71
792562,John,James,West Virginia,85,55,10,100,23
324797,Stephen,Natalie,Mississippi,30,89,58,79,40
422725,Roberto,John,South Dakota,78,46,88,59,18
753023,Mary,Lori,Wyoming,69,83,12,9,27
637367,Brooke,Tina,Connecticut,29,62,11,11,12
143505,Adam,Anthony,South Carolina,59,40,31,85,68
545505,Gregory,Stephanie,Ohio,66,71,81,34,53
154612,Carolyn,Jamie,Delaware,64,98,69,45,27
445620,Samantha,Amber,Louisiana,21,66,82,1,91
427573,Allen,Tiffany,Alabama,78,45,14,72,74
667148,Brian,David,Arkansas,25,4,88,82,69
765939,Candace,David,New Mexico,45,34,51,6,82
744037,James,Raymond,Minnesota,9,30,92,62,100
581106,Margaret,Jennifer,Arkansas,78,88,57,10,79
439937,Clarence,Brittany,Hawaii,75,94,97,58,59
452939,Michael,Erin,Vermont,61,5,82,4,11
259661,Mary,Stephen,Washington,83,31,65,53,53
267481,Samuel,Michael,Kansas,59,71,65,36,16
162161,Ashley,Kristin,Kentucky,73,11,78,62,27
888396,James,Edward,Massachusetts,66,86,40,41,61
100249,Anne,Jamie,Indiana,38,12,96,69,40
789976,Christina,Dustin,Idaho,30,29,90,93,8
484750,Timothy,Frederick,Pennsylvania,18,63,47,90,22
584999,John,Kevin,Hawaii,63,37,27,85,97
191665,Sarah,Angela,Delaware,66,15,91,6,13
829237,Mathew,Richard,Delaware,43,20,1,26,46
141426,Alexandria,Timothy,Massachusetts,38,25,3,3,54
779333,Sharon,Brandon,Wisconsin,97,92,61,91,68
313415,Michael,Adrienne,Alaska,76,51,23,39,14
324221,Logan,Katherine,Oklahoma,59,99,24,23,60
779434,Amanda,Matthew,Pennsylvania,67,65,73,35,24
305534,Amanda,Kelly,North Dakota,79,17,69,32,15
459678,Thomas,Mary,Virginia,22,20,60,3,65
614988,Tanya,Yolanda,South Dakota,59,19,25,48,41
189575,Michele,Emily,Utah,77,13,39,72,90
866564,Dakota,Andrew,California,28,7,36,50,82
713353,Danny,Christopher,Idaho,22,73,28,26,56
108828,Kelli,Susan,New Mexico,71,98,31,89,8
117594,Kristina,Nathan,Louisiana,27,47,40,68,92
213777,Randy,Jennifer,Indiana,91,82,91,96,1
768511,Thomas,Glenn,Arkansas,7,96,88,63,52
804456,Glenn,Daniel,Connecticut,2,7,71,48,79
819734,Diane,Brian,Washington,89,10,64,70,13
633174,Nicole,Richard,West Virginia,37,13,9,53,72
583741,James,Anthony,Alaska,55,69,65,14,10
644424,William,April,Montana,67,71,81,16,91
346721,Samuel,Anthony,South Dakota,75,2,86,25,40
491786,William,Lisa,Illinois,38,87,2,47,69
156547,Stephanie,Elizabeth,Kentucky,89,21,41,95,52
225272,Jonathan,Sean,Ohio,84,22,39,3,74
523477,Thomas,Shannon,Montana,55,25,6,86,94
171390,Linda,Meagan,Hawaii,91,40,66,26,92
777530,Autumn,Alexis,Alaska,99,38,65,90,71
401642,Tracey,Elizabeth,Delaware,63,43,90,95,64
461682,Richard,David,New Hampshire,67,55,50,84,99
134156,Bryan,Brittany,Oklahoma,84,24,38,41,57
773663,Nicole,Amber,Alabama,78,30,9,99,66
876691,Sara,Jessica,Wisconsin,10,36,58,87,48
639325,Edwin,Megan,Michigan,19,27,11,77,89
846160,Angela,Jamie,Wyoming,88,72,49,21,14
101182,Cory,Robert,Kentucky,68,63,78,57,47
212616,Peter,Stephanie,North Dakota,86,3,95,51,51
185235,William,Russell,California,93,40,93,62,93
515719,Robert,Robert,Louisiana,71,30,18,80,85
735964,Cynthia,Tammy,Louisiana,49,100,16,93,91
897167,Brianna,Ryan,Iowa,90,48,30,47,72
762821,Gina,Felicia,Montana,25,99,42,40,34
324239,Robert,Shannon,Alabama,59,10,74,63,79
444142,Rhonda,Danny,Maine,20,66,52,6,50
378489,Michael,Hannah,Arkansas,74,28,37,91,1
867148,Steven,Rebecca,Florida,80,91,30,24,59
692591,Jennifer,Scott,Maine,30,41,48,47,36
539046,Eric,Beverly,Kansas,61,19,63,67,99
759991,Tara,Jason,Arkansas,33,100,98,22,40
107886,Kristina,Susan,Rhode Island,60,37,37,42,62
665314,Laura,Michael,Alaska,53,84,5,79,28
856440,Jessica,Matthew,New Mexico,98,31,36,64,51
165087,Louis,Ana,Indiana,34,76,8,85,39
157244,Timothy,Thomas,New York,87,19,46,7,49
640535,Erin,Patrick,Virginia,55,39,25,94,94
867100,Sara,Sophia,California,24,60,30,98,10
502468,Christopher,Steven,Hawaii,54,90,100,47,4
241825,Michael,Christopher,North Dakota,49,14,74,79,10
702628,Matthew,Rebecca,Michigan,63,70,56,12,71
515482,Melissa,Jessica,Oklahoma,27,37,17,96,55
228918,Mary,Sara,Minnesota,55,11,8,52,67
182488,Leslie,Melissa,New Mexico,49,57,15,33,73
722187,Kevin,Jessica,Pennsylvania,65,69,56,20,51
477066,Megan,Victor,Wyoming,5,21,84,99,62
701108,Henry,Kenneth,Utah,83,86,42,24,10
739512,Lisa,Javier,Missouri,82,57,61,46,92
523806,Ronald,Joe,Mississippi,27,94,3,22,13
111742,Candice,Scott,Louisiana,90,99,46,81,89
369108,Mallory,John,Maine,9,61,49,66,25
805982,Brittany,Tammy,California,44,63,47,2,60
175057,Briana,Kimberly,Montana,59,47,14,96,64
640097,Kaitlin,Amanda,Missouri,28,40,32,74,35
777894,Charles,Christine,Oklahoma,48,4,53,95,33
688728,Curtis,Michael,South Dakota,78,44,71,70,83
406108,Tina,Joseph,Missouri,97,9,76,98,4
668871,Jim,Melanie,Maryland,5,31,8,42,47
174493,Pamela,Rebecca,Georgia,38,85,60,43,6
474402,Michele,Amber,Montana,70,22,63,25,88
799315,Valerie,Kevin,Oregon,15,54,74,23,92
617910,Shane,Andrew,Kansas,5,69,47,75,18
818184,Mary,Leonard,Rhode Island,38,14,22,46,83
352623,Dennis,Catherine,Arkansas,9,64,13,8,29
699669,Julie,Aaron,Tennessee,13,94,50,65,96
181096,Derek,Shane,Texas,31,23,61,19,79
551318,Christopher,John,Vermont,33,22,8,66,25
159730,Stephanie,Austin,Missouri,62,18,87,7,56
848561,Laurie,Paula,Minnesota,18,48,18,67,10
791547,Terri,Christopher,Nevada,26,80,32,83,64
820666,Alan,Bradley,Wyoming,74,88,41,50,73
233758,Elizabeth,Bryan,Nebraska,25,20,11,58,91
441973,Brittany,William,Delaware,57,96,63,81,100
656515,Joshua,Ashley,Pennsylvania,68,59,95,17,12
692032,Alex,Michael,California,37,31,49,83,92
370444,Angela,Jane,Iowa,70,27,53,27,71
865781,Bruce,Matthew,Tennessee,62,67,51,76,37
838183,Jessica,Stacey,Connecticut,90,13,11,65,7
342834,Lori,Donald,Montana,20,97,11,44,61
507423,Chloe,Cody,Vermont,66,47,59,55,17
395723,Jenna,Brian,Florida,80,69,59,33,43
833885,Kathleen,Brian,Nebraska,52,38,61,69,46
662544,Cristian,Rhonda,Ohio,63,96,3,80,6
580871,Hannah,Bianca,Texas,3,33,8,90,87
469051,Molly,Dustin,Kentucky,98,61,26,37,48
845332,Christopher,Edwin,New Mexico,23,97,62,96,76
688949,Benjamin,Susan,Michigan,44,47,10,61,78
351044,Nichole,Anthony,Tennessee,84,81,69,38,36
560523,Sara,Thomas,Hawaii,56,5,91,47,8
722551,Shawn,Jennifer,Wyoming,53,19,12,62,1
479909,Jessica,Anthony,Delaware,69,83,28,29,3
838161,Mary,Kelly,Alabama,57,80,14,61,32
184536,Kelly,Christopher,New Jersey,39,58,35,98,3
248550,Kelli,Danny,Oklahoma,50,33,77,26,93
768955,Andrea,John,Virginia,29,70,36,71,23
377621,Bradley,Claire,Indiana,27,39,23,82,52
240160,Gina,Ann,Maine,97,78,64,44,51
374527,Gabriel,Rachel,Arizona,5,77,22,25,49
312564,Dylan,Miguel,New York,14,87,7,69,71
561333,Barbara,Antonio,California,3,33,11,81,77
241492,James,William,Connecticut,53,41,94,64,87
194418,Alexander,Ryan,Wisconsin,16,12,85,38,34
439821,Manuel,Jessica,Michigan,84,16,31,22,42
240557,Scott,Melissa,Montana,19,30,29,15,55
783623,Jodi,Teresa,Ohio,49,47,50,9,85
248392,Olivia,Curtis,Delaware,31,60,99,62,13
670260,James,Jacqueline,Minnesota,4,46,95,77,22
861929,Michael,William,Indiana,39,87,81,71,78
728834,Carol,Christina,Kansas,72,62,22,88,73
717474,Jeremy,Christopher,Montana,88,84,12,44,35
207401,Diana,Daniel,North Dakota,99,85,67,59,60
879259,Holly,Nicole,North Carolina,87,60,90,67,73
258247,Jacqueline,Renee,Maine,90,50,13,7,9
831612,Bradley,Thomas,South Dakota,60,38,40,97,61
777503,Jeremy,Steve,West Virginia,5,91,2,43,4
609314,Nathaniel,Kimberly,Wisconsin,71,35,50,99,68
518751,Stephanie,Judith,New York,89,57,72,43,74
312819,Lisa,Anna,Colorado,97,1,77,65,40
442705,Noah,William,Alabama,53,37,64,30,17
518247,Susan,Darius,Rhode Island,51,69,74,4,10
824519,Katie,Samantha,Louisiana,79,41,21,46,92
681444,Scott,Christopher,Oregon,80,44,82,11,48
354631,Robin,Brian,New Mexico,62,64,22,23,80
616464,Zachary,Andrew,North Dakota,31,84,99,53,27
167627,Matthew,Erica,South Dakota,5,90,25,32,17
822812,Kendra,James,North Dakota,41,49,70,80,51
694770,Jason,John,New Mexico,45,15,48,81,20
511091,Benjamin,Sabrina,Kentucky,95,55,70,29,96
387883,Thomas,Alex,Texas,55,79,97,49,91
762859,Sean,Ashley,South Dakota,1,24,71,3,90
114215,Gregory,Christina,Idaho,26,1,92,22,70
193451,Jeffrey,Jared,New York,30,87,11,69,18
385534,Caitlin,Annette,Michigan,11,88,53,91,72
539702,Kathryn,Christine,Vermont,26,58,68,25,57
620179,Sara,William,Vermont,6,54,21,84,99
497620,Justin,Amy,Louisiana,31,34,58,52,33
559150,Matthew,Ryan,Oklahoma,35,33,46,30,91
477901,Sean,Amanda,Tennessee,96,80,55,2,73
249673,Rebecca,Eddie,Washington,74,100,79,17,53
760689,Nancy,Mark,Georgia,63,48,35,37,13
879736,Benjamin,Steven,Ohio,100,72,74,21,91
435495,Thomas,Gabrielle,Rhode Island,96,95,70,62,58
677643,Yvonne,Kari,Indiana,5,48,68,95,35
859481,David,Kelly,Vermont,57,65,49,9,8
179230,Joseph,Kristin,South Carolina,75,98,79,31,45
662962,Joshua,Roger,Washington,41,94,74,40,76
610681,Jonathan,Janet,Florida,34,30,70,13,53
899037,Michele,Sheila,Virginia,15,19,21,82,11
174912,Stacy,Andrea,Massachusetts,97,99,65,21,73
828906,Kevin,Jacob,Missouri,70,15,28,9,88
799592,Jake,Tommy,Arkansas,56,55,77,49,18
452172,Marie,Carolyn,North Dakota,83,81,79,5,88
798667,Susan,Mary,Oregon,6,35,15,20,100
229360,Grant,Emily,Oklahoma,66,70,79,12,56
417062,John,Mark,Missouri,80,62,46,2,69
630946,Alicia,Tammy,Utah,92,65,49,48,53
843931,Abigail,Mary,Texas,70,9,18,40,86
590405,Matthew,Zachary,Maine,25,2,74,46,91
785577,Tony,Teresa,Vermont,39,35,23,83,31
195209,Brendan,Kelly,Alaska,76,52,66,17,55
419948,Edward,Jeremy,Oregon,19,66,38,83,34
156569,Joseph,Sean,Missouri,40,90,52,20,41
483248,Tricia,Travis,Tennessee,97,61,22,7,11
250716,Richard,Terri,Delaware,59,17,28,1,1
320773,Margaret,Colton,California,81,47,29,95,71
547164,Ashley,Anne,Florida,67,74,65,2,24
404020,Aaron,Mark,New Hampshire,57,72,32,40,86
870382,John,Billy,Alabama,99,52,94,91,82
637294,Miguel,Carlos,Idaho,41,99,3,46,61
220809,Crystal,Elizabeth,New Mexico,10,51,98,19,28
135771,Nicholas,Anna,Alabama,99,2,10,86,25
116834,Tammy,James,Louisiana,32,44,2,95,19
339291,Ryan,Loretta,Mississippi,9,39,57,48,75
170600,Aaron,Emily,Georgia,51,100,87,5,33
563129,Rhonda,Kevin,Nebraska,24,55,46,42,15
230339,Daniel,Amy,Arizona,21,35,93,38,55
367033,Ashlee,Hannah,Vermont,3,92,100,33,93
611953,Katelyn,Kristine,Texas,86,78,77,15,58
294678,Gina,Sharon,Utah,47,66,35,8,91
709403,Michael,Jody,Arkansas,58,100,41,32,14
230719,Michael,James,Rhode Island,9,25,24,26,29
447781,Chloe,Nicole,Missouri,80,91,82,62,60
158620,Amanda,Lawrence,New Mexico,9,85,90,45,98
712372,Brandon,Phillip,Alaska,90,19,61,61,14
208825,Cynthia,Heather,Rhode Island,69,1,59,75,54
337414,Robert,Michael,North Dakota,9,51,71,62,59
291510,Frank,Natalie,Kentucky,5,42,45,41,55
880144,Emily,Patricia,Missouri,42,60,3,55,23
445540,William,Jessica,South Dakota,73,45,56,24,47
180420,Timothy,Christopher,West Virginia,59,68,90,1,76
231655,Kristin,Andrea,Delaware,3,89,57,59,55
776411,Sarah,David,Montana,41,30,54,8,12
564771,Daniel,Shawn,Delaware,60,26,2,90,27
778906,Charles,Ashley,Oregon,38,91,100,64,98
764174,Ryan,Nicholas,Arizona,92,26,14,59,67
548350,Teresa,Maria,Montana,65,74,85,30,70
379440,Anita,Eileen,North Dakota,87,55,100,15,42
678353,Laura,Melissa,Oregon,75,3,35,66,80
680169,Fred,Dwayne,Arkansas,73,60,62,62,68
796844,Anna,Kimberly,Oklahoma,50,46,58,1,21
140634,Holly,Megan,Delaware,27,16,65,64,16
340185,Gary,Thomas,Louisiana,30,61,83,26,63
673183,Brandon,Brian,Nevada,69,23,52,95,4
645181,Gregory,Tamara,Wisconsin,93,66,46,24,72
226231,Diana,Anna,Arkansas,52,74,75,11,26
201741,Linda,Sara,Missouri,66,83,100,69,53
129527,Andre,Craig,Michigan,64,98,61,44,72
212026,David,Paul,Alaska,24,56,54,44,78
511112,Jeffrey,Connor,New Jersey,88,23,57,72,46
521773,Justin,Alyssa,Montana,1,15,42,35,75
722302,Kathy,Timothy,South Carolina,90,17,26,73,60
218578,Jessica,Randall,South Carolina,63,32,100,87,70
666023,Gerald,Nichole,Illinois,79,12,79,3,69
374703,Paul,Jose,North Dakota,1,84,100,49,89
623626,Robert,Jodi,Texas,45,63,12,61,78
430682,Samantha,Linda,Oklahoma,35,32,53,87,64
675515,James,Caitlin,Vermont,25,9,32,59,97
768903,Jacob,Sandra,Montana,26,92,32,54,81
383118,Maria,Joanna,Oregon,99,92,73,72,99
679507,Joseph,Cathy,New York,84,52,46,18,5
674137,Jennifer,Thomas,Maryland,58,41,56,80,64
471812,Daniel,Kelly,California,16,50,61,18,69
753903,Gary,James,Connecticut,11,11,85,52,83
433723,David,Jane,Delaware,97,58,74,81,70
281449,Yvonne,Heidi,Delaware,84,37,2,48,52
295612,Matthew,Debbie,Iowa,83,13,12,3,11
660920,Michelle,Diane,Pennsylvania,17,67,73,56,85
631971,Alicia,Cynthia,Utah,5,62,50,88,100
568112,Julie,Tamara,Illinois,12,51,60,49,38
208522,Ashlee,Stephen,Arkansas,72,97,70,16,52
270028,Amanda,Monica,Nevada,71,33,6,29,59
582147,Jeffery,Kendra,Nevada,5,53,40,85,62
531174,Shannon,Mary,North Dakota,48,15,87,53,35
374240,Kevin,Mary,Oregon,16,69,3,83,77
572902,Andrew,John,Oklahoma,89,99,59,15,74
644700,Joseph,Wendy,Rhode Island,39,18,38,80,57
769230,Amanda,Kristy,Georgia,49,34,54,83,20
479699,Tabitha,Caleb,Illinois,55,71,85,69,90
392873,Matthew,Crystal,South Carolina,72,18,44,50,17
522086,Thomas,Renee,Idaho,48,7,31,85,75
623854,Jeremy,Jeremy,Wyoming,59,88,84,43,63
263130,Hannah,Lisa,Georgia,3,11,78,84,89
349811,Tina,Cory,Alaska,58,78,19,97,30
599539,Kevin,Renee,South Dakota,79,87,28,76,92
726647,Lisa,Victor,Illinois,94,100,51,20,20
135307,Michael,Alyssa,Montana,37,78,41,25,88
368107,Adrian,David,Arizona,60,20,60,73,47
178772,Brittney,Rachael,North Carolina,33,50,82,28,73
159288,Rose,Joseph,Idaho,60,73,87,96,71
711264,Lisa,Mario,Iowa,62,22,96,24,77
820876,Nichole,Hannah,Tennessee,49,19,71,76,36
243517,Amanda,Jermaine,Iowa,67,42,59,66,9
538589,Thomas,Mackenzie,Wyoming,27,98,8,39,6
898958,Jose,Robert,Wyoming,23,70,11,7,35
528673,Danielle,Michele,Connecticut,59,53,84,37,67
191401,Charles,Jeremy,Idaho,74,98,28,72,10
392379,Jody,Amy,Minnesota,9,2,51,93,9
431621,Holly,Annette,Massachusetts,96,7,22,6,26
761481,Alex,Leah,Missouri,25,69,26,100,75
869508,Lisa,Cathy,Vermont,16,79,92,17,24
644841,Austin,Gregory,Arkansas,14,1,89,31,62
143323,Joshua,Sean,Wisconsin,49,13,13,60,57
898353,Margaret,Suzanne,Georgia,73,84,97,71,68
334923,Jacqueline,Bradley,Rhode Island,47,19,47,2,95
841960,Catherine,Cody,Virginia,89,47,96,31,67
886744,Joseph,Charles,New Jersey,73,36,47,68,37
543614,Megan,Sarah,Nebraska,43,67,39,50,91
592219,Greg,Kristin,Nebraska,62,38,26,48,95
512751,Jared,Sarah,West Virginia,34,49,31,14,76
201795,Cindy,Sylvia,Michigan,91,69,3,68,68
692443,Joyce,Anthony,Alaska,36,32,21,2,18
104160,Michael,Hannah,Florida,77,28,14,93,81
589382,Corey,David,South Dakota,33,19,38,95,65
578483,Sylvia,Danielle,Florida,67,43,25,8,28
374961,Maria,Jerome,Kentucky,59,73,68,68,23
379652,Laura,Dawn,Washington,44,45,74,49,84
382268,Kelly,Rachel,New York,61,81,28,20,55
367222,Amanda,William,Pennsylvania,10,53,53,82,37
289363,William,Melissa,Idaho,15,32,45,57,15
474627,Paul,Samantha,Montana,58,20,92,18,71
789234,Stephanie,Zachary,Louisiana,85,83,65,63,92
735742,Amy,Krystal,Missouri,80,26,51,39,14
460697,Jacob,Nathaniel,Delaware,91,20,9,4,14
646860,Kelsey,William,Louisiana,62,26,96,24,17
367087,Amy,Robert,Massachusetts,74,44,71,95,2
345446,Carla,Jessica,Kansas,79,66,72,70,66
549793,Julie,Jonathan,Hawaii,90,74,91,48,95
718832,Brenda,James,Louisiana,22,73,76,57,43
577581,Michael,Gina,North Dakota,100,78,6,55,48
149362,Amber,Daniel,Minnesota,53,56,14,7,25
851742,Johnny,Patricia,Louisiana,11,44,8,3,40
321725,Zachary,Linda,Virginia,98,15,25,76,88
212808,Christian,James,Minnesota,56,40,12,31,37
253547,Amanda,Ashley,New Hampshire,3,9,23,69,8
614810,Bradley,Cassandra,Ohio,52,19,10,66,59
389873,Donald,Veronica,Texas,97,68,15,19,81
707271,James,Michael,Mississippi,47,91,22,78,35
448474,Dalton,Morgan,Alaska,98,67,71,96,6
494234,Carlos,Jeffery,Connecticut,42,35,54,66,76
425252,Carolyn,Ralph,Hawaii,80,59,50,23,99
511008,Austin,David,New York,34,39,89,20,79
625470,Sarah,Stephen,Illinois,71,57,18,6,38
503174,Roger,Jessica,Idaho,89,41,34,99,24
244297,Jessica,Kimberly,South Dakota,48,36,65,36,15
